"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/17/2017","Intuit TurboTax","INTUIT *TURBOTAX","59.53","debit","Taxes","Freedom Unlimited","",""
"4/16/2017","Factory","THE FACTORY","10.73","debit","Coffee Shops","Freedom Unlimited","",""
"4/16/2017","Factory","THE FACTORY","5.07","debit","Coffee Shops","Freedom Unlimited","",""
"4/16/2017","Caffe Medici","SQ *CAFFE MEDICI","5.70","debit","Restaurants","Sapphire Reserve","",""
"4/16/2017","McDonald's","MCDONALD'S F12765","7.34","debit","Fast Food","Sapphire Reserve","",""
"4/16/2017","Fasten Inc","FASTEN INC","10.20","debit","Rental Car & Taxi","Sapphire Reserve","",""
"4/16/2017","Fasten Inc","FASTEN INC","9.87","debit","Rental Car & Taxi","Sapphire Reserve","",""
"4/16/2017","McDonald's","MCDONALD'S F12765","2.15","debit","Fast Food","Sapphire Reserve","",""
"4/16/2017","Mozarts","MOZARTS","6.00","debit","Coffee Shops","Sapphire Reserve","",""
"4/16/2017","Uber.com","UBER   *US APR14 LQR4D","9.07","debit","Rental Car & Taxi","Sapphire Reserve","",""
"4/14/2017","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","500.00","credit","Income","Personal Checking","",""
"4/14/2017","Transfer to Freedom Unlimited","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","596.36","debit","Credit Card Payment","Personal Checking","",""
"4/13/2017","Transfer from Personal Checking","AUTOMATIC PAYMENT - THANK","596.36","credit","Credit Card Payment","Freedom Unlimited","",""
"4/13/2017","iTunes","APL* ITUNES.COM/BILL","2.99","debit","Music","Freedom Unlimited","",""
"4/13/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.70","debit","Restaurants","Sapphire Reserve","",""
"4/12/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","5.40","debit","Restaurants","Sapphire Reserve","",""
"4/11/2017","Lee's Sandwiches","LEE'S SANDWICHES","5.98","debit","Food & Dining","Sapphire Reserve","",""
"4/11/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","9.06","debit","Restaurants","Sapphire Reserve","",""
"4/11/2017","Century Theaters","69420 Century Me Rent       65544621        WEB ID: 1861072180","6.00","debit","Mortgage & Rent","Personal Checking","",""
"4/10/2017","Dallas Superstore","DALLAS SUPERSTORE","35.52","debit","Shopping","Freedom","",""
"4/10/2017","Chipotle","CHIPOTLE 2749","15.16","debit","Fast Food","Sapphire Reserve","",""
"4/10/2017","IHOP","IHOP 1333     00013334","26.00","debit","Restaurants","Sapphire Reserve","",""
"4/10/2017","Barnes & Noble","BARNES & NOBLE #2884","5.03","debit","Books","Sapphire Reserve","",""
"4/10/2017","Sam's Club","SAMS CLUB        PAYMENTPPD ID: 9069872000","29.98","debit","Shopping","Personal Checking","",""
"4/09/2017","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","29.98","credit","Credit Card Payment","XXXXXXXXXX1550","",""
"4/09/2017","Wharton County Junior","WHARTON COUNTY JUNIOR COL","10.00","debit","Tuition","Freedom Unlimited","",""
"4/09/2017","College Transcript","COLLEGE TRANSCRIPT","7.00","debit","Tuition","Freedom Unlimited","",""
"4/09/2017","Southwest Airlines","SOUTHWES    5262499876620","113.98","debit","Air Travel","Sapphire Reserve","",""
"4/09/2017","Southwest Airlines","SOUTHWES    5262499876619","73.72","debit","Air Travel","Sapphire Reserve","",""
"4/09/2017","Greyhound","GREYHOUND LINES CNP","43.50","debit","Travel","Sapphire Reserve","",""
"4/09/2017","Fresh Market","SQ *FRESH MARKET","4.91","debit","Groceries","Sapphire Reserve","",""
"4/07/2017","Balance Refund","CREDIT BALANCE REFUND DEBIT C_FEES","25.00","debit","Uncategorized","Personal Credit Account","",""
"4/07/2017","Bennu Coffee, LLC","SQ *BENNU COFFEE","3.25","debit","Coffee Shops","Freedom Unlimited","",""
"4/07/2017","Chipotle","CHIPOTLE 0092","8.12","debit","Fast Food","Freedom Unlimited","",""
"4/07/2017","Ichiro Ramen Shop","ICHIRO RAMEN SHOP","36.00","debit","Restaurants","Sapphire Reserve","",""
"4/07/2017","Transfer to Freedom","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","164.87","debit","Credit Card Payment","Personal Checking","",""
"4/07/2017","Your Statement","YOUR STORE CARD STATEMENT CREDIT","1.91","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"4/06/2017","Transfer from Personal Checking","AUTOMATIC PAYMENT - THANK","164.87","credit","Credit Card Payment","Freedom","",""
"4/04/2017","Century Theaters","69420 Century Me Rent       65162345        WEB ID: 1861072180","1300.91","debit","Mortgage & Rent","Personal Checking","",""
"4/04/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"4/04/2017","Bakery Cafe","85C BAKERY CAFE USA","3.75","debit","Restaurants","Sapphire Reserve","",""
"4/03/2017","Utswmc Dallas Tx","UTSWMC DALLAS TX PAYROLLPPD ID: 5756002868","3679.21","credit","Paycheck","Personal Checking","",""
"4/03/2017","Amazon","AMZ_STORECRD_PMT PAYMENTPPD ID: 9069872000","82.32","debit","Shopping","Personal Checking","",""
"4/03/2017","Help Jagex.com","help.jagex.com","99.99","debit","Entertainment","Freedom Unlimited","",""
"4/03/2017","Ai Sushi","AI SUSHI SAKE GRILL","63.00","debit","Restaurants","Sapphire Reserve","",""
"4/03/2017","Snow Factory","SNOW FACTORY","8.27","debit","Uncategorized","Sapphire Reserve","",""
"4/02/2017","Utsw Aston Valet","UTSW-ASTON VALET SERVI","5.00","debit","Travel","Freedom Unlimited","",""
"4/02/2017","Kroger","KROGER #0509","20.99","debit","Groceries","Freedom Unlimited","",""
"4/02/2017","UT Southwestern","UT SOUTHWESTERN 10034","3920.00","debit","Doctor","Freedom Unlimited","",""
"4/02/2017","Kroger","KROGER #0509","8.65","debit","Groceries","Freedom Unlimited","",""
"4/02/2017","Estilos Salon","ESTILOS SALON","20.00","debit","Personal Care","Freedom Unlimited","",""
"4/02/2017","Kroger","KROGER #0509","50.19","debit","Groceries","Freedom Unlimited","",""
"4/02/2017","Ichiro Ramen Shop","ICHIRO RAMEN SHOP","19.00","debit","Restaurants","Sapphire Reserve","",""
"4/01/2017","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","82.32","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"3/31/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"3/31/2017","Chipotle","CHIPOTLE 2749","8.12","debit","Fast Food","Sapphire Reserve","",""
"3/30/2017","Amazon","Amazon Digital Svcs","10.81","debit","Shopping","Sapphire Reserve","",""
"3/30/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"3/29/2017","Target","TARGET        00009472","14.32","debit","Shopping","Freedom Unlimited","",""
"3/29/2017","Snack Corner","SQ *SHON'S SNACK CORNER","5.83","debit","Groceries","Freedom Unlimited","",""
"3/29/2017","Amazon","Amazon.com","96.99","debit","Shopping","Freedom Unlimited","",""
"3/28/2017","Reliant Energy","RELIANT ENERGY","21.25","debit","Utilities","Freedom Unlimited","",""
"3/28/2017","Inwood","INWOOD","6.91","debit","Gifts & Donations","Sapphire Reserve","",""
"3/27/2017","RaceTrac","RACETRAC498   00004986","39.17","debit","Gas & Fuel","Freedom","",""
"3/26/2017","Sam's Club","SAM'S CLUB 008248 DALLAS TX&lt;br/&gt;SNACKS","65.33","debit","Shopping","XXXXXXXXXX1550","",""
"3/26/2017","Sam's Club","SAM'S CLUB 008248 DALLAS TX&lt;br/&gt;SAM'S CLUB CAFE","17.83","debit","Shopping","XXXXXXXXXX1550","",""
"3/26/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.80","debit","Restaurants","Sapphire Reserve","",""
"3/25/2017","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;iPad Mini 4 Screen Protector G","9.29","debit","Shopping","XXXXXXXXXX5324","",""
"3/24/2017","Panda Express","PANDA EXPRESS, INC #2676","7.58","debit","Fast Food","Freedom Unlimited","",""
"3/24/2017","Cafe Hunan","CAFE HUNAN 2","19.70","debit","Restaurants","Sapphire Reserve","",""
"3/24/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"3/22/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"3/21/2017","Corner","CORNER STORE 2319","3.08","debit","Groceries","Freedom","",""
"3/20/2017","Chase Autopay Ppd","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","1683.70","debit","Financial","Personal Checking","",""
"3/20/2017","Venmo","VENMO            PAYMENT    453601826       WEB ID: 3264681992","10.00","debit","Transfer","Personal Checking","",""
"3/20/2017","Phillips Lowes Fuel","PHILLIPS 66 - LOWES FUEL","11.78","debit","Gas & Fuel","Freedom Unlimited","",""
"3/20/2017","The Point","THE POINT AT PALACIOS LLC","4.06","debit","Sporting Goods","Freedom Unlimited","",""
"3/20/2017","Time Warner","TWC*TIME WARNER CABLE","41.45","debit","Television","Sapphire Reserve","",""
"3/20/2017","Uber.com","UBER   *US MAR19 EWHRS","37.27","debit","Rental Car & Taxi","Sapphire Reserve","",""
"3/19/2017","Chevron","CHEVRON 0153513","31.06","debit","Gas & Fuel","Freedom Unlimited","",""
"3/19/2017","Exxon","EXXONMOBIL    47957121","31.13","debit","Gas & Fuel","Freedom Unlimited","",""
"3/19/2017","Shell","SHELL OIL 57543001002","2.59","debit","Gas & Fuel","Freedom Unlimited","",""
"3/19/2017","Tractor Supply","TRACTOR SUPPLY # 1369","94.98","debit","Lawn & Garden","Freedom Unlimited","",""
"3/19/2017","Dairy Queen","DAIRY QUEEN #14464","19.68","debit","Fast Food","Sapphire Reserve","",""
"3/19/2017","Automatic Thank","AUTOMATIC PAYMENT - THANK","1683.70","credit","Credit Card Payment","Sapphire Reserve","",""
"3/17/2017","Venmo","VENMO            PAYMENT    452780354       WEB ID: 3264681992","40.89","debit","Transfer","Personal Checking","",""
"3/17/2017","Venmo","VENMO            PAYMENT    452796705       WEB ID: 3264681992","9.00","debit","Transfer","Personal Checking","",""
"3/14/2017","Tous","TOUS LES JOURS","7.75","debit","Clothing","Freedom Unlimited","",""
"3/14/2017","T K Diamond","T&K DIAMOND MART INC","33.33","debit","Gas & Fuel","Freedom Unlimited","",""
"3/14/2017","Transfer to CREDIT CARD","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","282.04","debit","Credit Card Payment","Personal Checking","",""
"3/14/2017","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","11.50","credit","Income","Personal Checking","",""
"3/14/2017","Venmo","VENMO            PAYMENT    449310482       WEB ID: 3264681992","23.00","debit","Transfer","Personal Checking","",""
"3/13/2017","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;elago D Stand - ???AirPods Charg","19.99","debit","Shopping","XXXXXXXXXX5324","",""
"3/13/2017","Utsw Aston Valet","UTSW-ASTON VALET SERVI","5.00","debit","Travel","Freedom Unlimited","",""
"3/13/2017","Bath & Body Works","BATH & BODY WORKS 0404","6.00","debit","Spa & Massage","Freedom Unlimited","",""
"3/13/2017","iTunes","APL* ITUNES.COM/BILL","2.99","debit","Music","Freedom Unlimited","",""
"3/13/2017","Starbucks","STARBUCKS STORE 06402","13.48","debit","Coffee Shops","Freedom Unlimited","",""
"3/13/2017","Transfer from CHASE COLLEGE","AUTOMATIC PAYMENT - THANK","282.04","credit","Credit Card Payment","Freedom Unlimited","",""
"3/13/2017","Hollister","HOLLISTER #371","20.57","debit","Clothing","Freedom Unlimited","",""
"3/13/2017","Barnes & Noble","BARNES & NOBLE #2884","10.95","debit","Books","Sapphire Reserve","",""
"3/13/2017","McDonald's","MCDONALD'S F1943","6.38","debit","Fast Food","Sapphire Reserve","",""
"3/13/2017","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;elago D Stand - ?AirPods Charg","19.99","debit","Shopping","XXXXXXXXXX5324","",""
"3/12/2017","Apple","APL*APPLE ONLINE STORE","172.12","debit","Electronics & Software","Sapphire Reserve","",""
"3/12/2017","Chino","CHINO CHINATOWN","25.00","debit","Restaurants","Sapphire Reserve","",""
"3/12/2017","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;iPhone 7 Case, TORRAS Ultra Sl","8.99","debit","Shopping","XXXXXXXXXX5324","",""
"3/10/2017","Venmo","VENMO            PAYMENT    445016722       WEB ID: 3264681992","12.00","debit","Transfer","Personal Checking","",""
"3/10/2017","Estilos Salon","ESTILOS SALON","15.00","debit","Personal Care","Freedom Unlimited","",""
"3/10/2017","Chipotle","CHIPOTLE 0092","8.12","debit","Fast Food","Freedom Unlimited","",""
"3/10/2017","Amazon","AmazonPrime Membership","99.00","debit","Shopping","Sapphire Reserve","",""
"3/09/2017","Your Statement","YOUR STORE CARD STATEMENT CREDIT","4.33","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"3/09/2017","Venmo","VENMO            PAYMENT    443958920       WEB ID: 3264681992","5.44","debit","Transfer","Personal Checking","",""
"3/09/2017","Sam's Club","SAMS CLUB        PAYMENTPPD ID: 9069872000","13.14","debit","Shopping","Personal Checking","",""
"3/09/2017","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","13.14","credit","Credit Card Payment","XXXXXXXXXX1550","",""
"3/08/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","1.94","debit","Restaurants","Sapphire Reserve","",""
"3/07/2017","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Iphone Charger Dock, Charger D","8.99","debit","Shopping","XXXXXXXXXX5324","",""
"3/07/2017","North Texas Irish","NORTH TEXAS IRISH","30.00","debit","Uncategorized","Freedom Unlimited","",""
"3/07/2017","ACE Parking","ACE PARKING SPACE","10.00","debit","Parking","Freedom Unlimited","",""
"3/07/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"3/07/2017","Starbucks","STARBUCKS CARD RELOAD","10.00","debit","Coffee Shops","Sapphire Reserve","",""
"3/07/2017","Transfer to CREDIT CARD","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","214.76","debit","Credit Card Payment","Personal Checking","",""
"3/07/2017","Century Theaters","69420 Century Me Rent       64055279        WEB ID: 1861072180","1303.73","debit","Mortgage & Rent","Personal Checking","",""
"3/06/2017","Transfer from CHASE COLLEGE","AUTOMATIC PAYMENT - THANK","214.76","credit","Credit Card Payment","Freedom","",""
"3/05/2017","Sam's Club","SAMSCLUB 8248 GAS","32.77","debit","Shopping","Freedom","",""
"3/05/2017","Galaxy","GALAXY HIGHLAND","23.90","debit","Shipping","Freedom Unlimited","",""
"3/04/2017","Sam's Club","SAM'S CLUB 008248 DALLAS TX&lt;br/&gt;ZYRTEC 10MG, IS $ 6.00 OFF","29.98","debit","Shopping","XXXXXXXXXX1550","",""
"3/04/2017","Sam's Club","SAM'S CLUB 008248 DALLAS TX&lt;br/&gt;PHARMACY OTC","29.98","debit","Shopping","XXXXXXXXXX1550","",""
"3/03/2017","Online Transfer Th","Online Transfer 6048864183 to Thi's Chase Checking Account #####","1500.00","debit","Transfer","Personal Checking","",""
"3/02/2017","Minuteclinic 4985","MINUTECLINIC #21923","30.00","debit","Doctor","Freedom Unlimited","",""
"3/02/2017","Amazon","AMAZON RETAIL SEATTLE WA&lt;br/&gt;AmazonBasics High-Speed HDMI C","7.96","debit","Shopping","XXXXXXXXXX5324","",""
"3/01/2017","Panda Express","PANDA EXPRESS, INC #2676","7.58","debit","Fast Food","Freedom Unlimited","",""
"3/01/2017","Amazon","Amazon Digital Svcs","10.81","debit","Shopping","Sapphire Reserve","",""
"3/01/2017","Amazon","AMAZON           PAYMENT    604578109727532 PPD ID: 9069872000","92.56","debit","Shopping","Personal Checking","",""
"3/01/2017","Utswmc Dallas Tx","UTSWMC DALLAS TX PAYROLLPPD ID: 5756002868","3679.22","credit","Paycheck","Personal Checking","",""
"3/01/2017","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","92.56","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"2/28/2017","The Point","THE POINT AT PALACIOS LLC","4.06","debit","Sporting Goods","Freedom","",""
"2/28/2017","Sam's Club","SAMSCLUB #8248","115.85","debit","Shopping","Freedom Unlimited","",""
"2/28/2017","Sam's Club","SAMSCLUB #8248","19.97","debit","Shopping","Freedom Unlimited","",""
"2/27/2017","Exxon","EXXONMOBIL    47237714","3.96","debit","Gas & Fuel","Freedom","",""
"2/27/2017","Citgo","PALACIOS CITGO","20.00","debit","Gas & Fuel","Freedom","",""
"2/27/2017","Lowe's","LOWE'S MARKET#113","24.34","debit","Home Improvement","Freedom Unlimited","",""
"2/27/2017","Lowe's","LOWE'S MARKET#113","4.29","debit","Home Improvement","Freedom Unlimited","",""
"2/27/2017","Uber.com","UBER   US FEB26 CA6HA","8.95","debit","Rental Car & Taxi","Sapphire Reserve","",""
"2/27/2017","Church's Chicken","CHURCHS CHICKEN 5418","3.98","debit","Restaurants","Sapphire Reserve","",""
"2/27/2017","McDonald's","MCDONALD'S F5443","3.77","debit","Fast Food","Sapphire Reserve","",""
"2/27/2017","TxTag","TXTAG 888 468 9824","20.00","debit","Travel","Sapphire Reserve","",""
"2/26/2017","Help Jagex Com","help.jagex.com","99.99","debit","Entertainment","Freedom Unlimited","",""
"2/26/2017","Wingstop","WINGSTOP 0027","9.52","debit","Restaurants","Sapphire Reserve","",""
"2/26/2017","Reliant Energy","RELIANT ENERGY","33.35","debit","Utilities","Sapphire Reserve","",""
"2/26/2017","Noodle Rice","NOODLE AND RICE","10.00","debit","Restaurants","Sapphire Reserve","",""
"2/26/2017","Coffee House","COFFEE HOUSE","3.78","debit","Food & Dining","Sapphire Reserve","",""
"2/24/2017","RaceTrac","RACETRAC498   00004986","5.94","debit","Gas & Fuel","Freedom","",""
"2/24/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.70","debit","Restaurants","Sapphire Reserve","",""
"2/24/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"2/23/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Freedom Unlimited","",""
"2/23/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.70","debit","Restaurants","Sapphire Reserve","",""
"2/22/2017","McDonald's","MCDONALD'S F1943","6.60","debit","Fast Food","Sapphire Reserve","",""
"2/22/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.70","debit","Restaurants","Sapphire Reserve","",""
"2/22/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"2/21/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.70","debit","Restaurants","Sapphire Reserve","",""
"2/21/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"2/21/2017","Transfer to CREDIT CARD","CHASE            AUTOPAYPPD ID: 4760039224","3308.53","debit","Credit Card Payment","Personal Checking","",""
"2/20/2017","Bennu Coffee, LLC","SQ *BENNU COFFEE","5.00","debit","Coffee Shops","Freedom Unlimited","",""
"2/19/2017","Panda Express","PANDA EXPRESS, INC #2676","7.58","debit","Fast Food","Freedom Unlimited","",""
"2/19/2017","Inwood","INWOOD","7.57","debit","Gifts & Donations","Sapphire Reserve","",""
"2/19/2017","Transfer from CHASE COLLEGE","AUTOMATIC PAYMENT - THANK","3308.53","credit","Credit Card Payment","Sapphire Reserve","",""
"2/19/2017","AT&T","AT&T*BILL PAYMENT","803.43","debit","Home Phone","Sapphire Reserve","",""
"2/19/2017","Chipotle","CHIPOTLE 0812","19.05","debit","Fast Food","Sapphire Reserve","",""
"2/17/2017","Uber.com","BC UBER GIFT CARD","25.00","debit","Rental Car & Taxi","Freedom","",""
"2/17/2017","Raise Com","RAISE.COM","14.00","debit","Uncategorized","Freedom Unlimited","",""
"2/17/2017","Raise Com","RAISE.COM","79.50","debit","Uncategorized","Freedom Unlimited","",""
"2/17/2017","iTunes","APL* ITUNES.COM/BILL","8.24","debit","Music","Freedom Unlimited","",""
"2/17/2017","Time Warner","TWC*TIME WARNER CABLE","41.45","debit","Television","Sapphire Reserve","",""
"2/17/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","10.59","debit","Restaurants","Sapphire Reserve","",""
"2/16/2017","Utsw Pay Foot","UTSW-PAY ON FOOT","3.00","debit","Uncategorized","Freedom","",""
"2/16/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"2/15/2017","iTunes","APL* ITUNES.COM/BILL","5.40","debit","Music","Freedom Unlimited","",""
"2/15/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","6.70","debit","Restaurants","Sapphire Reserve","",""
"2/15/2017","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"2/14/2017","Subroc Utsw","SUBROC UTSW","7.57","debit","Uncategorized","Sapphire Reserve","",""
"2/13/2017","Uber.com","UBER   US FEB13 BSK63","8.72","debit","Rental Car & Taxi","Freedom","",""
"2/13/2017","Drive Inn","HENDERSON DRIVE INN","10.35","debit","Uncategorized","Freedom","",""
"2/13/2017","Exxon","EXXONMOBIL    47237714","3.99","debit","Gas & Fuel","Freedom","",""
"2/13/2017","Mighty Cone","SQ *THE MIGHTY CONE","9.75","debit","Uncategorized","Freedom Unlimited","",""
"2/13/2017","iTunes","APL* ITUNES.COM/BILL","2.18","debit","Music","Freedom Unlimited","",""
"2/13/2017","Church's Chicken","CHURCHS CHICKEN 5418","2.15","debit","Restaurants","Sapphire Reserve","",""
"2/13/2017","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","329.72","credit","Income","Personal Checking","",""
"2/12/2017","Uber.com","UBER   US FEB11 JTFAU","9.08","debit","Rental Car & Taxi","Freedom","",""
"2/12/2017","Wal-Mart","WM SUPERCENTER #3569","26.95","debit","Shopping","Freedom Unlimited","",""
"2/12/2017","Starbucks","STARBUCKS CARD RELOAD","10.00","debit","Coffee Shops","Sapphire Reserve","",""
"2/10/2017","Sam's Club","SAMSCLUB #8248","38.00","debit","Shopping","Freedom","",""
